Player Name,Position,Phonetic Spelling
Jackson Miller,Quarterback,JAK-sun MILL-er
Wyatt Parker,Running Back,WYE-ut PAR-ker
Grayson Adams,Wide Receiver,GRAY-sun AD-umz
Levi Morgan,Wide Receiver,LEE-vye MOR-gun
Cameron Scott,Tight End,KAM-run SKOT
Benjamin Foster,Left Tackle,BEN-juh-min FOSS-ter
Andrew Bailey,Left Guard,AN-droo BAY-lee
Jordan Hill,Center,JOR-dun HILL
Nicholas Kelly,Right Guard,NIK-oh-lus KEL-ee
Parker Young,Right Tackle,PAR-ker YUNG
Cooper James,Fullback,KOO-per JAYMZ
Gavin Long,Defensive End,GAV-in LONG
Preston White,Defensive Tackle,PRESS-tun WYTE
Tristan Green,Defensive Tackle,TRISS-tun GREEN
Cole Sanders,Defensive End,KOHL SAN-derz
Blake Howard,Linebacker,BLAYK HOW-erd
Carson Bell,Linebacker,KAR-sun BELL
Chase Bryant,Linebacker,CHAYS BRY-ant
Dominic Brooks,Cornerback,DOM-in-ik BROOKS
Trevor Stone,Cornerback,TREV-er STOHN
Colton West,Safety,KOHL-tun WEST
